MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,0.0,,,,0.0,,,,CID1213228,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc1
,,,,,0.0,,,,,,,,0.0,,,,CID2884221,O=C(Nc1ccc([N+](=O)[O-])cc1)C1C(c2ccccc2)=C1c1ccccc1
,,,,,,,,,0.0,,,,,,,,CID2933370,O=C(c1ccccc1C(=O)N1CCN(c2ccccc2F)CC1)N1CCN(c2ccccc2F)CC1
0.0,,0.0,,,,,,,,,,,,,,,CID4444351,CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,CID2109903,CC(C)c1nc(SCC(=O)NCc2ccccc2)n[nH]1
0.0,,,0.0,,,,,,0.0,,0.0,,,,,,CID666670,Cn1c(CCNC(=O)c2ccccc2)nc2cc(NC(=O)c3ccco3)ccc21
,0.0,,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,CID2213751,CCn1c(COc2ccc3c(c2)CCCC3)nnc1SCC(=O)Nc1nccs1
,,,,,,,,,,,0.0,,,0.0,,,CID2942090,O=C(Cn1nc(-c2ccc(N3CCOCC3)c([N+](=O)[O-])c2)c2ccccc2c1=O)N1CCCCC1
,,,,0.0,,,0.0,,,,,,,,,,CID756979,CC(C)(C)C1CCC2(CC1)NC(CO)(CO)CO2
,,0.0,,,,,,0.0,,,,,,,,,CID5389804,C=CCOc1ccc(C2/C(=C(\O)c3c(C)[nH]c(C(=O)OC)c3C)C(=O)C(=O)N2CCN(C)C)cc1
,,,,,,,,0.0,,,,,,,,,CID1872714,CCc1nc2oc3cc(OC)ccc3c(=O)c2c(=O)n1Cc1ccccc1
,0.0,,,,,,,,,,,,,,,,CID767651,O=C(CCn1c(=O)oc2ccccc21)N1CCOCC1
,,,,,0.0,,,,,,,,,,,,CID3837385,CCCCOC1(c2ccccc2)NC(=S)NN=C1c1ccccc1
,,,,,,,,0.0,0.0,,,,,0.0,,,CID946983,Cc1cc(C)c(C#N)c(Oc2ccccc2)n1
,,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,CID3236988,COc1ccc(NC(C)=O)cc1NC(=O)CN1CCN(C2c3ccccc3-c3ccccc32)CC1
0.0,,,,,,,,0.0,,,,,,,0.0,0.0,CID658921,N#Cc1c(NC(=O)c2ccc(Br)o2)n(-c2ccccc2)c2nc3ccccc3nc12
,,,,,,,,,0.0,,,,,,,,CID9550463,N/C(COc1ccc(F)cc1)=N\NC(=O)c1cccnc1Oc1ccccc1
,,0.0,0.0,,,,,,,,,,,,0.0,,CID2957513,O=C(CC1NCCNC1=O)Nc1ccc(Oc2ccccc2)cc1
0.0,,,,,,,,,,,0.0,,,,0.0,,CID5307396,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(Br)c2)cc1
,,,,,,,,,,0.0,,,,,,,CID2019908,Cc1cccc(CSc2ncnc3c2cnn3Cc2ccccc2)c1
,,,,,,,,,,,,,0.0,,,,CID870942,Cc1ccc2nc(NC(=O)c3ccc4c(c3)OCO4)sc2c1
,,,,,,,,,,0.0,,,,,,,CID4886601,CC1=NN(c2nc(C)cc(C)n2)C(=O)C1CCC(C)C
,,,,,,,,,,,,,,0.0,,,CID15945007,CC(C)C(NS(=O)(=O)c1cccc(Cl)c1)C(=O)OCC(=O)N1CCN(c2ccccc2)CC1
,,,,,,,,,,,0.0,,,,,,CID5309596,CCOC(=O)N1CCN(c2c(Nc3ccc4c(c3)OCCO4)c(=O)c2=O)CC1
,,,0.0,,0.0,,,,,,0.0,,,,,,CID854933,C/C(=C\C#N)n1nc(C)cc1N
,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,CID2196,COc1ccc(C(=O)N2CCCC2=O)cc1
,0.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,CID664340,CCc1ccc2oc(=O)cc(CN3CCOCC3)c2c1
,0.0,,,0.0,,,,,0.0,,,,,,,,CID661832,COCCCNC(=O)c1c(N)n(/N=C/c2cccs2)c2nc3ccccc3nc12
,0.0,,,,,,,,,,,,,,,,CID661831,Cc1cc(=O)n2[nH]c(N3C(=O)CCC3=O)nc2n1
,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,CID913828,COc1nc(C)ccc1-c1noc(-c2ccncc2)n1
,0.0,,0.0,,,,,,,,,0.0,,,0.0,0.0,CID868758,O=C(c1ccc2c(c1)OCO2)N1CCN(c2ccc(Cl)cc2)CC1
,,,,,,,,,,,,,,,,0.0,CID2772034,O=C(O)C1C2C=CC3(CN(Cc4ccco4)C(=O)C13)O2
,,,,,,,,,,,,,0.0,,,,CID1364854,COc1ccc(-c2nc(-c3ccccc3)c(-c3cc([N+](=O)[O-])ccc3C)[nH]2)cc1OC
,,,,,,,,,,,,,,0.0,,,CID2842437,O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)nc1
,,,,,0.0,,,,,,,,,0.0,,,CID2429227,CCCN(CC1CC1)C(=O)CSc1ncnc2sc(C)c(C)c12
0.0,,,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,CID2999406,COc1ccc(O)c(C(=O)c2cc(C#N)c(=O)n(-c3c(C)n(C)n(-c4ccccc4)c3=O)c2)c1
,0.0,,,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,CID665581,CC1S/C(=C(\C#N)C(=O)NCc2ccco2)N(c2ccc(F)cc2)C1=O
,,,,,,,,0.0,,,0.0,,,,,,CID3150950,CN1C(=O)CC(Sc2ccccc2C(=O)O)C1=O
,,,,,,,0.0,,,,0.0,,0.0,,0.0,,CID650478,COc1ccc(S(=O)(=O)c2ccc(OC)c(OC)c2)cc1OC
,,,,,0.0,,,,,0.0,,,,,0.0,,CID5309419,CCOc1ccc2nc(NC(=O)C3CCN(S(=O)(=O)c4cnc[nH]4)CC3)sc2c1
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,,CID654200,Cc1cc(NC(=O)CSc2nnc3c(C)cc4ccccc4n23)no1
,,,,,,,,,0.0,0.0,,,0.0,,,,CID3097718,CCCCOc1ccc(S(=O)(=O)NC(=O)NCc2ccc(OCCC)cc2)cc1
,,,0.0,,,,,,,,,,,,,,CID4536915,CCC(=O)Nc1nnc(-c2ccco2)o1
,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,,CID887949,Cc1nc(=O)c(-c2ccccc2)c(C)n1-c1ccc(O)c(C(=O)O)c1
0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,,CID663324,Cn1c(SCc2ccccc2F)nnc1-c1cnccn1
,,0.0,,,,,0.0,,,,,0.0,,,,,CID648963,C=CCc1cccc2cc(C(=O)N3CCN(C(=O)OCC)CC3)c(=O)oc12
,,,,0.0,,,0.0,,,,,,,,0.0,,CID3239928,CCN1CCCC1CNC(=O)c1ccc(CS(=O)(=O)c2ccccc2C)o1
,,,0.0,,,,,,,,,,,,0.0,,CID3239921,COCCCNc1nc(=S)[nH]c2cc(OC)c(OC)cc12
,,,,,0.0,,,,0.0,,0.0,,,,,,CID857997,c1ccc(-c2nc3ccccn3c2NCc2ccc3c(c2)OCO3)cc1
,0.0,,,,,0.0,,,0.0,,,,,,,,CID647883,CS(=O)(=O)Nc1ccccc1C(=O)N1CCCC1
,,,,0.0,,,0.0,,,,,,,,,,CID647881,COc1cccc(N2CCN(CC(=O)NCc3cccs3)CC2)c1
,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,CID647887,Nc1cc(=O)nc(SCc2nnc(-c3ccccc3)o2)[nH]1
,,,,,,,,,,,,,,0.0,,,CID714247,O=C(Nc1ccccc1N1CCOCC1)c1cccnc1Cl
,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,CID665912,Cc1ccc(CNc2ccc(N3CCOCC3)c(C(=O)O)c2)s1
0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,CID573743,O=C(Nc1cccc2nsnc12)c1cccs1
,,,,,,,,,,,,,,0.0,,,CID2130268,CCCCn1cnc2cc(C)c(C)cc21
0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,CID644519,c1ccc(CCn2nnnc2C(c2cccs2)N2CCOCC2)cc1
,,,,,,,,,,,,,,0.0,,,CID1359010,C/C(=N\NC(=O)c1cccc(Cl)c1)c1cccc(NC(=O)c2ccco2)c1
0.0,,,,,,,,,,,,,,,0.0,0.0,CID1244282,O=C(Nc1nn(Cc2ccccc2F)cc1Br)c1cccs1
,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,CID644511,COc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1
,,,,,,,,,0.0,,,,,,,,CID2877837,CCOc1ccc(C(C)=O)cc1CC(C(N)=O)C(N)=O
,,,,,,,,,,,,,,0.0,,,CID2909929,O=C(C1CCCO1)N1CCN(C(=S)Nc2ccc(Cl)cc2Cl)CC1
,,,,0.0,,,0.0,,,,,,,,,0.0,CID1252359,CS(=O)(=O)N(CC(=O)Nc1ccccc1C(=O)N1CCOCC1)c1ccc2c(c1)OCO2
,,,,,,,,,,,,,,0.0,,,CID3778366,Cc1cc(C)n(-c2nc(SCCN(C)C)c3c4c(sc3n2)COC(C)(C)C4)n1
0.0,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,CID2295879,N#CCCCSc1nnc(-c2ccc(Cl)cc2)n1-c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID1420690,Cc1ccc(-n2c(SCC(=O)N/N=C/c3ccc(C)s3)nnc2-c2ccccc2)cc1
,,,,,,,,0.0,0.0,0.0,,,,,,,CID3142259,Cc1ccccc1NC(=O)CSC1=C(C#N)C(c2ccsc2)CC(=O)N1
,,,,,,,,,0.0,,,,0.0,,,,CID297427,CC(c1ccccc1)n1cncc1C(=O)O
,,,,,,,,,,,,,,0.0,,,CID4969272,CC(=O)c1ccc(N2CCN(C(=S)Nc3ccc(Oc4ccccc4)cc3)CC2)cc1
,,,,,,,,,,,,,0.0,,,,CID1472593,Cc1ccc(S(=O)(=O)NNC(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)cc1
,,0.0,,,,,,,0.0,,0.0,0.0,,,,,CID2212806,Cc1cccc(NC(=O)c2cc(NC(=O)c3ccco3)ccc2N2CCCCC2)c1
,,,,,0.0,,,,0.0,,,,0.0,,,,CID2374619,Cc1ccsc1/C=C1\CCc2ccccc2C1=O
,,,,0.0,,,,,,,,,,,,,CID3244788,CCCN1CCC2(CC1)NC(CO)(CO)CO2
0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,0.0,,CID3244539,Cn1cc(/C=N/n2cnc3scc(-c4ccccc4)c3c2=O)c2ccccc21
,,,,0.0,,,,,,,,,,,,,CID989227,CN(c1cccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)c1)S(C)(=O)=O
,,,,,,,,,0.0,,,,,,,,CID2828242,CCCOC(=O)/C(C)=N/NC(=O)c1ccco1
,0.0,,,,,,,,,,0.0,,0.0,,,,CID3244538,COCCn1c(=O)[nH]c2cc(C(=O)NC(C)C)ccc2c1=O
,,,,,,,,0.0,,,0.0,,,0.0,,,CID1095016,O=C(c1cc2c(ccc3ccccc32)oc1=O)N1CCCC1
,,,,,,,0.0,,,,,,,0.0,,,CID821958,COC(=O)c1onc(C(=O)c2ccccc2)c1C(=O)OC
,,0.0,0.0,,,,,,,,,,,,,,CID3237408,O=C(NCCCN1CCOCC1)C1CC(=O)N(C2CCCCC2)C1
,,,,,0.0,,,,,,0.0,,,,,,CID2891105,CC1=C(C)CC(C(=O)NCCc2ccccc2)C(C(=O)O)C1
,,,,,,,,,,0.0,,,0.0,,,,CID2120260,COc1cccc(NC(=O)COC(=O)c2c(-c3ccccc3)noc2C)c1
,,,,,0.0,,,,,,,,,,,,CID1254592,COc1ccc2oc(-c3ccc(C)c(NC(=O)CSc4ccc(Cl)cc4)c3)nc2c1
,,,,,,,,0.0,0.0,,,,,,,,CID1254594,CCc1nnc2sc(-c3ccc(NC(=O)CSc4ccc(Cl)cc4)cc3)nn12
,,,,,,,,,,,,,,0.0,,,CID859016,S=C(NCc1ccco1)N1CCN(Cc2ccco2)CC1
,0.0,,0.0,,,,,,,,0.0,0.0,,,,,CID65549,CCNC(=O)c1nc[nH]c1C(=O)NCC
,,,,,,0.0,,,,,0.0,,,,,,CID2371933,Cc1nn(-c2cccc(C(F)(F)F)c2)c(Cl)c1/C=N/n1cnnc1
,,,,,0.0,,,,,,,,,,,,CID5456435,COC1=C/C(=C\NNC(=O)c2ccccc2NC(=O)c2ccc(OC)cc2)C=CC1=O
,,,,,,,,,,,0.0,,,,,,CID4218803,COc1ccccc1N1CCN(CC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CC1
,,,,,,,,0.0,,0.0,,,,,,,CID2219744,CCc1ccc(OCCCOc2ccc(C=O)cc2)cc1
,,,,,,,,,,,,,0.0,0.0,,,CID769180,O=C(c1ccccc1)c1cc2c(cc1[N+](=O)[O-])OCCO2
,,,,,,,,,,,,,,,,0.0,CID3242313,CCC(=O)N1CCc2cc(Br)cc(S(=O)(=O)N3CCN(C(=O)c4ccco4)CC3)c21
,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,CID657801,CCCCOC(=O)n1c(=O)oc2ccccc21
,,,,,,,,,0.0,,,,,,,,CID657800,CN1C(=O)N(C)C2C1N(CN1CCCCC1)C(=O)N2CN1CCCCC1
,,,,0.0,,,,,,0.0,,,,,,0.0,CID2958557,COc1cccc(S(=O)(=O)NCc2ccc(C(=O)NCC3CCCO3)cc2)c1
,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,CID836479,CSc1cccc(NS(=O)(=O)c2ccccc2)c1
,,,0.0,,,,0.0,,0.0,,,,0.0,,,,CID973895,CCc1nc(SCC(=O)Nc2ccnc3ccccc23)n[nH]1
,,,,,,,,,,,0.0,,,,,,CID565938,COc1cccc(C2C(C(C)=O)=C(O)C(=O)N2Cc2ccco2)c1
,,,,,,,,,,,,,0.0,,,,CID776272,O=C(c1ccc(Cl)cc1[N+](=O)[O-])N1CCc2ccccc2C1
,,,,,,0.0,,,,,,,,,,,CID2979988,COC(=O)c1cc(NC(=O)CC2C(=O)NCCN2C(=O)c2ccccc2)cc(C(=O)OC)c1
,,,,,,,,,,,,,,0.0,,,CID5345950,Cn1cc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc([N+](=O)[O-])c2)c2ccccc21
,,,,,,,0.0,,,,,,,,,,CID5310423,O=C(Cn1cnc2c(nnn2-c2ccccc2)c1=O)NCc1ccco1
0.0,,0.0,,,,0.0,,0.0,,,0.0,,,,,,CID655427,O=C1c2ccccc2C(=O)N1CCCCN1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
,,,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,CID3239616,CCOC(=O)c1sc(=S)n(-c2cc(F)ccc2F)c1N
0.0,0.0,,,0.0,,,,0.0,0.0,,,,,,,,CID1265763,CCN1CCN(c2ncnc3c2sc(=S)n3-c2ccccc2)CC1
,,,,,,,,,,,,,,0.0,,,CID2913601,COc1ccc2oc(=O)c(C(=O)NCc3ccc4c(c3)OCO4)cc2c1
,,,,,,,,0.0,0.0,0.0,,,,,,,CID2334532,CCc1nnc(NC(=O)c2cccc(S(=O)(=O)N(C)c3ccccc3)c2)s1
,,,,,,,,,,,0.0,,,,,,CID1853751,CCC(=O)Nc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1N1CCOCC1
,,,0.0,,,,,,,,,,,,,,CID649911,CCNc1nc(NC(C)C)nc(N(C#N)CC)n1
0.0,0.0,,,0.0,,,,,,,,,,,0.0,,CID4327076,CCOc1ccc(NC(=O)c2cnc3scc(C)n3c2=O)cc1
,,,,,0.0,,,,,,,,,,,,CID5337680,Cc1nnc(C)n1/N=C/c1ccc(Cl)cc1
,,,,,,,,,,0.0,,,0.0,,,,CID566975,O=C(CN1CCCCC1)Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1
,,,,,,,,,,,,,,0.0,,,CID2139645,Cc1ccc(OCC(=O)NNC(=O)c2cc(C)[nH]n2)cc1
,,,,,0.0,,,,,,,,,,,,CID3681497,Cc1ccc(C)c(NC(=O)CCC(=O)OC(C(=O)c2ccccc2)c2ccccc2)c1
,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,CID2107229,COC(=O)c1ccc(CSc2nnc3sc4ccccc4n23)o1
,,,,,,,0.0,,,,,0.0,0.0,0.0,,,CID712743,COc1cccc(Oc2nnnn2-c2ccccc2)c1
0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,CID853256,COc1ccc(-c2csc3nc(C)n(-n4cccc4)c(=O)c23)cc1
,,,,,0.0,,,,,,,,,,,,CID5348757,CN(C1=NC(=O)S/C1=C\c1ccc([N+](=O)[O-])cc1)c1ccc(O)cc1
,0.0,0.0,,,,0.0,,,,,,,,,,,CID327999,O=C(NC(Cc1ccc(F)cc1)C(=O)O)c1ccccc1
,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,CID893490,Cc1nc2cc(NC(=O)Nc3nccs3)ccc2n1C
,,,,,,,,,,,0.0,,,,,,CID1583576,COCCNS(=O)(=O)c1cc(F)ccc1OC
,,,,0.0,,0.0,,,0.0,,,,,,,,CID976041,COC(=O)c1c(NS(C)(=O)=O)sc2c1CCCC2
,,,,,,,,0.0,,,,,,,,,CID1433181,CC(=O)CSc1nnc(-c2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)o1
,,,0.0,0.0,,,,,0.0,,,0.0,,0.0,,,CID700590,c1ccc(OCc2nc3ccccc3s2)cc1
,,,,,,,0.0,,,0.0,,,,,0.0,,CID986862,Cc1cccc(Cn2c(SCCN3CCOCC3)nc3c2c(=O)n(C)c(=O)n3C)c1
,,,,,0.0,,,,,,,,,,,,CID1561913,CN(C1=NC(=O)/C(=C\c2ccc(Cl)cc2)S1)c1ccc(O)cc1
,,,0.0,,,,,0.0,0.0,,,0.0,,,,,CID654633,Cc1ccc2nc3c(c(C(=O)O)c2c1)CCC3
,,,,,,,,,,,,,,0.0,,,CID878196,Cc1cc(C(=S)N2CCOCC2)c(C)n1-c1ccc(Cl)cc1
,,0.0,,,0.0,,0.0,,,,,0.0,,,,,CID655320,Cc1ccc(C(=O)COC(=O)CNC(=O)c2ccco2)cc1
,,,,0.0,,,,0.0,,,,0.0,,,,,CID655322,COc1ccc2[nH]c(=O)c(CN(Cc3cccs3)S(=O)(=O)c3cccc4nsnc34)cc2c1
,,,0.0,,,0.0,,,,,,,,,,,CID5308391,CCCN1CCN(C(=O)c2cccc3c2C(=O)N(CCOC)C3)CC1
0.0,,,,,,,,,0.0,,,0.0,,,,,CID5308396,CC1CCCN(C(=O)c2cc3c(-c4ccc(Cl)cc4)nn(C)c3s2)C1
,,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,CID2214206,O=C(OCc1ccc(F)cc1Cl)c1ccccn1
,,0.0,0.0,,,,0.0,,,,,,,,,0.0,CID662056,c1ccc(Cn2c(-c3ccco3)nc3nc4ccccc4nc32)cc1
,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,CID2999307,Cc1ccc(NC(=O)COC(=O)c2ccc3c(c2)NC(=O)C2CCCN32)cc1
,,0.0,,,,0.0,,0.0,,,,0.0,,,,,CID2999308,CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)COC(=O)c1cc(C)oc1C
,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,CID984193,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1
,,,,,,,0.0,,,,,,,,0.0,,CID3245670,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCC(C(=O)NCc4cccnc4)CC3)CC2)cc1
,0.0,,,,0.0,,,,,,,,0.0,,0.0,,CID3245677,O=C1CCCN1CN(C(=O)c1ccc2c(c1)OCO2)c1cccc(Cl)c1
,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,,CID664106,CC1CN(S(=O)(=O)c2cccc(-c3cn4cccnc4n3)c2)CC(C)O1
,,,,,,,0.0,,,,0.0,,,,,,CID664107,CCCCOCCCNC(=O)NC(CC(C)C)C(=O)O
,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,CID646032,O=C(CSc1nnc(-c2ccncc2)n1Cc1ccco1)OC1CCCCC1
,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,CID646037,N#Cc1c(NC(=O)CSc2nnc(-c3ccncc3)n2CC2CCCO2)sc2c1CCCC2
,,,0.0,,,,,,,,,,,,0.0,,CID692191,O=C(NCc1ccco1)Oc1ccccc1
,,,,,0.0,,,,,,,,0.0,0.0,,,CID2791379,Cc1n[nH]c(=O)nc1NC(C)c1ccccc1
,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,0.0,CID2997336,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccccc1F
0.0,,,0.0,,,,,,,,,0.0,,0.0,,,CID658704,O=C(Cc1c(O)[nH]c2ccccc2c1=O)NCc1cccc(F)c1
0.0,,,,,,,,,,,,,,,,,CID658708,OC(c1ccc(Cl)cc1Cl)C(Cc1cccnc1)n1cncn1
,,,,,,,,,,,,,0.0,,,,CID5145128,O=C(CSc1nc2ccccc2[nH]1)NCC1CCCO1
,,,,,0.0,,,,,,,,,,,,CID752864,Cc1c(Cl)c(-c2n[nH]c(=S)n2Cc2ccco2)nn1C
,,,,,,,,,,,,,0.0,,,,CID884122,COC(=O)C1CCN(C(=O)Cc2ccccc2OC)CC1
,,,,,,,,,,,0.0,,,,,,CID990669,CCOC(=O)Cn1nnc2c(sc3nc4c(c(-c5ccc(Cl)cc5)c32)CCC4)c1=O
,0.0,0.0,,,,,,,,,,,0.0,,,,CID649075,CCC(C)(C)n1nnnc1C(c1ccccn1)N1CCOCC1
,,,,,,,,,,,,,,0.0,,,CID5337444,Nc1ccc(S(=O)(=O)Nc2nccc(/C=C/c3ccccc3F)n2)cc1
,,,,0.0,,,,,,,,,,,,,CID1537115,Cc1c(NC(=O)c2c(F)cccc2F)c(=O)n(-c2ccccc2)n1C
,,,,,,0.0,,,,,,,,,,0.0,CID5711796,COc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)N=C3N=NNN32)c(OC)c1
,,,,,,,,,,,,0.0,,,,,CID765425,CCOC(=O)CC(=O)Nc1ccc(C(=O)OCC)cc1
0.0,,0.0,,,,,,,0.0,,,,,,,0.0,CID651557,Cc1cccc(Cn2c(N3CCN(c4ccccc4)CC3)nc3c2c(=O)n(C)c(=O)n3C)c1
,,,,,,,,,,,,,,,0.0,0.0,CID2857342,CN1CCC(N2CC3CC(C2)c2cccc(=O)n2C3)CC1
,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,CID797834,Cn1c(SCc2ccc(C#N)cc2Cl)nc2ccccc21
,,,,0.0,,,,,,,,0.0,,,0.0,,CID2999057,COC1=C(OC)c2ccccc2C(C(=O)O)N/C1=C(/C)Nc1ccncc1
,,,,,,,,,0.0,0.0,,,0.0,,,,CID1074716,O=C(COc1ccc(Cl)cc1)N1CCN(S(=O)(=O)c2ccccc2)CC1
,,,,0.0,,,,,,,,,,,,,CID1907335,COCCNS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)NCCOC)ccc1-2
,,,,,,0.0,,,,,0.0,,,0.0,,0.0,CID2969359,O=C1OCCC1Sc1nc(-c2ccccc2)cs1
0.0,,,,,,0.0,,0.0,,0.0,0.0,,,1.0,0.0,,CID833492,COc1ccc(C(=O)n2nnc3ccccc32)cc1Br
,,,,,,,,0.0,0.0,0.0,0.0,,,,,,CID3213141,COCCN1CC(=O)N(c2ccc(C)cc2C)C(c2ccc(N(C)C)cc2)C1=O
,,,,,,,,,0.0,,,,,,,,CID2233705,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)NCCC(C)C)cc2)cc1
,,,0.0,,,0.0,,,0.0,,,,,,0.0,,CID708036,COc1ccc2ccccc2c1/C=N/O
0.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,CID665102,CCn1c(COc2ccccc2)nnc1SCC(=O)C(C)(C)C
,0.0,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,,CID894234,N#Cc1cn(CC(=O)NCc2cccnc2)c2ccccc12
,0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,,CID1287918,O=C(Nc1ccccc1N1CCN(C(=O)c2ccccc2)CC1)c1cc2ccccc2o1
,,,,,,0.0,0.0,,,,,0.0,,,,,CID3240321,COc1ccc(OC)c(NC(=O)c2cc(S(=O)(=O)NCc3ccco3)ccc2F)c1
,,,,,,,,,,,0.0,,,,,,CID1287917,O=c1c(-c2ccco2)[n+]([O-])c2ccccc2n1OCc1ccccc1F
,,,,,,,,,0.0,,,,,,,,CID3224826,CC(C)NC(=O)Cn1c(SCC(=O)c2ccc(F)cc2)nc2ccccc21
0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,CID3240328,Cc1nc(C)c(C(=O)NCc2ccccc2Cl)o1
